"Datum Beginn";"Datum Ende";"Wochentag";"Beginn";"Ende";"Raum";"Ereignis";"Fach";"Dozent";"Bereich";"Standort";"ID"
"23.11.2023";"23.11.2023";"Do";"18:20";"19:05";"407";"TS TSM 2302 A 02";"Mathematik";"Christoph Kündig";"JTE";"Lagerstrasse 102";"910391"
"23.11.2023";"23.11.2023";"Do";"19:10";"19:55";"407";"TS TSM 2302 A 02";"Mathematik";"Christoph Kündig";"JTE";"Lagerstrasse 102";"910393"
"23.11.2023";"23.11.2023";"Do";"20:05";"20:50";"407";"TS TSM 2302 A 02";"Mathematik";"Christoph Kündig";"JTE";"Lagerstrasse 102";"910395"
"23.11.2023";"23.11.2023";"Do";"20:55";"21:40";"407";"TS TSM 2302 A 02";"Mathematik";"Christoph Kündig";"JTE";"Lagerstrasse 102";"910397"
"23.11.2023";"23.11.2023";"Do";"14:00";"14:45";"407";"TS TSM 2302 A 02";"Deutsch";"Christian Walser";"JTE";"Lagerstrasse 102";"977094"
"23.11.2023";"23.11.2023";"Do";"15:00";"15:45";"407";"TS TSM 2302 A 02";"Deutsch";"Christian Walser";"JTE";"Lagerstrasse 102";"977095"
"23.11.2023";"23.11.2023";"Do";"15:50";"16:35";"407";"TS TSM 2302 A 02";"Deutsch";"Christian Walser";"JTE";"Lagerstrasse 102";"977096"
"23.11.2023";"23.11.2023";"Do";"16:40";"17:25";"407";"TS TSM 2302 A 02";"Deutsch";"Christian Walser";"JTE";"Lagerstrasse 102";"977097"
"21.11.2023";"21.11.2023";"Di";"18:20";"19:05";"304";"TS TSM 2302 A 02";"Werkstoffkunde";"Samuel Vogel";"JTE";"Lagerstrasse 102";"910839"
"21.11.2023";"21.11.2023";"Di";"19:10";"19:55";"304";"TS TSM 2302 A 02";"Werkstoffkunde";"Samuel Vogel";"JTE";"Lagerstrasse 102";"910841"
"21.11.2023";"21.11.2023";"Di";"20:05";"20:50";"304";"TS TSM 2302 A 02";"Werkstoffkunde";"Samuel Vogel";"JTE";"Lagerstrasse 102";"910843"
"21.11.2023";"21.11.2023";"Di";"20:55";"21:40";"304";"TS TSM 2302 A 02";"Werkstoffkunde";"Samuel Vogel";"JTE";"Lagerstrasse 102";"910845"
"18.11.2023";"18.11.2023";"Sa";"08:00";"08:45";"407";"TS TSM 2302 A 02";"Präsentationstechnik";"Gabriela Baumgartner";"JTE";"Lagerstrasse 102";"910879"
"18.11.2023";"18.11.2023";"Sa";"08:50";"09:35";"407";"TS TSM 2302 A 02";"Präsentationstechnik";"Gabriela Baumgartner";"JTE";"Lagerstrasse 102";"910881"
"18.11.2023";"18.11.2023";"Sa";"09:50";"10:35";"407";"TS TSM 2302 A 02";"Präsentationstechnik";"Gabriela Baumgartner";"JTE";"Lagerstrasse 102";"910883"
"18.11.2023";"18.11.2023";"Sa";"10:40";"11:25";"407";"TS TSM 2302 A 02";"Präsentationstechnik";"Gabriela Baumgartner";"JTE";"Lagerstrasse 102";"910885"
"18.11.2023";"18.11.2023";"Sa";"12:20";"13:05";"407";"TS TSM 2302 A 02";"Präsentationstechnik";"Gabriela Baumgartner";"JTE";"Lagerstrasse 102";"910887"
"18.11.2023";"18.11.2023";"Sa";"13:10";"13:55";"407";"TS TSM 2302 A 02";"Präsentationstechnik";"Gabriela Baumgartner";"JTE";"Lagerstrasse 102";"910889"
"18.11.2023";"18.11.2023";"Sa";"14:00";"14:45";"407";"TS TSM 2302 A 02";"Präsentationstechnik";"Gabriela Baumgartner";"JTE";"Lagerstrasse 102";"910891"
"18.11.2023";"18.11.2023";"Sa";"15:00";"15:45";"407";"TS TSM 2302 A 02";"Präsentationstechnik";"Gabriela Baumgartner";"JTE";"Lagerstrasse 102";"910893"
"18.11.2023";"18.11.2023";"Sa";"08:00";"08:45";"404b";"TS TSM 2302 A 02";"Systems Engineering Gruppe B";"Kivi Mert";"JTE";"Lagerstrasse 102";"910943"
"18.11.2023";"18.11.2023";"Sa";"08:50";"09:35";"404b";"TS TSM 2302 A 02";"Systems Engineering Gruppe B";"Kivi Mert";"JTE";"Lagerstrasse 102";"910945"
"18.11.2023";"18.11.2023";"Sa";"09:50";"10:35";"404b";"TS TSM 2302 A 02";"Systems Engineering Gruppe B";"Kivi Mert";"JTE";"Lagerstrasse 102";"910947"
"18.11.2023";"18.11.2023";"Sa";"10:40";"11:25";"404b";"TS TSM 2302 A 02";"Systems Engineering Gruppe B";"Kivi Mert";"JTE";"Lagerstrasse 102";"910949"
"18.11.2023";"18.11.2023";"Sa";"11:30";"12:15";"404b";"TS TSM 2302 A 02";"Systems Engineering Gruppe B";"Kivi Mert";"JTE";"Lagerstrasse 102";"910951"
"18.11.2023";"18.11.2023";"Sa";"12:20";"13:05";"404b";"TS TSM 2302 A 02";"Systems Engineering Gruppe B";"Kivi Mert";"JTE";"Lagerstrasse 102";"910953"
"23.11.2023";"23.11.2023";"Do";"14:00";"14:45";"405a";"TS TSI 2302 A 02";"Betriebssysteme 1";"Marco Frei";"JTE";"Lagerstrasse 102";"911023"
"23.11.2023";"23.11.2023";"Do";"15:00";"15:45";"405a";"TS TSI 2302 A 02";"Betriebssysteme 1";"Marco Frei";"JTE";"Lagerstrasse 102";"911025"
"23.11.2023";"23.11.2023";"Do";"15:50";"16:35";"405a";"TS TSI 2302 A 02";"Betriebssysteme 1";"Marco Frei";"JTE";"Lagerstrasse 102";"911027"
"23.11.2023";"23.11.2023";"Do";"16:40";"17:25";"405a";"TS TSI 2302 A 02";"Betriebssysteme 1";"Marco Frei";"JTE";"Lagerstrasse 102";"911029"
"21.11.2023";"21.11.2023";"Di";"18:20";"19:05";"ZL O1.01";"TS TSI 2302 A 02";"Security Engineering";"Daniel Schlegel";"JTE";"Lagerstrasse 45";"911247"
"21.11.2023";"21.11.2023";"Di";"19:10";"19:55";"ZL O1.01";"TS TSI 2302 A 02";"Security Engineering";"Daniel Schlegel";"JTE";"Lagerstrasse 45";"911249"
"21.11.2023";"21.11.2023";"Di";"20:05";"20:50";"ZL O1.01";"TS TSI 2302 A 02";"Security Engineering";"Daniel Schlegel";"JTE";"Lagerstrasse 45";"911251"
